Condition;Time;score_nausea;size_nausea;score_gatric_distress;size_gatric_distress;score_belching;size_belching;score_intestinal_bloating;size_intestinal_bloating;score_bloating;size_bloating;score_flatulence;size_flatulence;score_intestine_upset;size_intestine_upset;score_headache;size_headache
Gelatine 0.3;15;0.0;0;0.0;0;4.2;5;1.0;1;2.0;2;3.0;1;0;0;0.0;0
Gelatine 0.3;30;5.0;1;5.0;3;4.3;4;1.0;1;2.0;1;3.0;2;0;0;0.0;0
Gelatine 0.3;45;2.0;1;2.0;1;3.3;4;1.0;1;2.0;1;3.5;4;3;1;1.0;1
Gelatine 0.3;60;0.0;0;2.0;2;3.3;3;1.0;1;1.5;2;3.0;1;0;0;1.0;1
Gelatine 0.3;75;0.0;0;2.3;3;2.5;4;2.0;2;2.0;3;2.7;3;0;0;2.0;1
Gelatine 0.3;90;0.0;0;2.3;3;2.5;4;3.5;2;1.5;2;2.5;2;5;1;2.0;1
Gelatine 0.3;105;3.5;2;2.3;3;2.3;3;1.0;1;3.3;3;3.0;2;3;1;2.0;2
Gelatine 0.3;120;4.0;2;2.3;3;2.3;3;1.0;1;6.0;2;5.7;3;3;1;2.0;2
Gelatine 0.3;135;4.5;2;2.3;3;2.3;3;3.5;2;6.0;2;4.5;4;3;1;1.5;2
Gelatine 0.3;150;4.0;2;2.0;3;2.3;3;1.0;1;6.0;2;4.5;2;3;1;1.0;2
Gelatine 0.3;165;4.0;2;2.5;2;2.3;3;1.0;1;6.0;2;3.3;3;3;1;1.0;1
Gelatine 0.3;180;2.5;2;4.0;2;2.0;3;2.0;2;6.0;2;4.3;4;3;2;1.0;1
Gelatine 0.3;195;2.5;2;4.0;2;2.0;2;2.0;1;6.0;2;3.5;4;3;1;1.0;1
Gelatine 0.3;210;2.5;2;4.0;2;3.0;1;2.0;1;5.5;2;3.8;4;3;1;1.0;1
Gelatine 0.3;225;2.5;2;4.0;2;3.0;1;3.0;1;5.5;2;4.0;3;3;1;1.0;1
Gelatine 0.3;240;2.0;2;3.5;2;3.0;1;4.0;1;9.0;1;4.3;3;3;1;1.0;1
Gelatine 0.3;270;2.0;1;5.0;1;3.0;1;4.0;1;8.0;1;4.7;3;3;1;2.0;2
Gelatine 0.3;300;2.0;1;4.0;1;3.0;1;4.0;1;7.0;1;9.0;1;0;0;0.0;0
Gelatine 0.3;330;2.0;1;3.0;1;3.0;1;4.0;1;6.0;1;8.0;1;0;0;2.0;1
Gelatine 0.3;360;2.0;1;2.0;1;3.0;1;6.0;1;5.0;1;7.0;1;0;0;1.0;1
Solution 0.3;15;4.6;5;7.0;1;2.9;7;1.0;1;6.0;2;3.0;2;0;0;2.5;2
Solution 0.3;30;4.2;5;4.0;4;3.0;5;2.5;2;3.5;2;3.5;2;4;2;3.3;3
Solution 0.3;45;4.2;5;5.7;3;3.0;4;2.0;2;3.0;3;3.3;3;6;1;3.7;3
Solution 0.3;60;4.4;5;5.7;3;3.4;5;3.0;1;3.0;3;3.3;3;5;1;3.5;4
Solution 0.3;75;4.5;4;5.3;3;3.3;4;3.0;1;3.0;3;3.0;3;3;2;3.7;3
Solution 0.3;90;4.3;4;5.7;3;2.8;4;3.0;1;2.7;3;2.8;5;3;2;5.0;2
Solution 0.3;105;4.0;4;6.0;2;2.7;3;3.0;1;2.0;2;3.5;2;0;0;3.3;3
Solution 0.3;120;3.8;4;6.0;2;2.3;3;3.0;1;6.0;1;3.5;2;0;0;3.7;3
Solution 0.3;135;2.3;3;5.0;1;2.0;3;3.0;1;6.0;1;3.5;2;0;0;4.0;2
Solution 0.3;150;2.3;3;5.0;1;1.7;3;5.0;1;6.0;1;3.5;2;0;0;5.0;1
Solution 0.3;165;3.0;1;3.0;1;1.5;2;2.0;1;5.0;1;3.0;3;0;0;5.0;1
Solution 0.3;180;3.0;1;3.0;1;1.0;1;2.0;1;5.0;1;2.7;3;0;0;5.5;2
Solution 0.3;195;3.0;1;3.0;1;0.0;0;2.0;1;4.0;1;2.5;2;0;0;5.5;2
Solution 0.3;210;3.0;1;3.0;1;0.0;0;2.0;1;4.0;1;2.5;2;0;0;5.5;2
Solution 0.3;225;3.0;1;3.0;1;0.0;0;2.0;1;4.0;1;2.0;1;0;0;5.5;2
Solution 0.3;240;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;2.5;2;0;0;5.0;2
Solution 0.3;270;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;2.5;2;0;0;6.0;2
Solution 0.3;300;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;2.5;2;0;0;9.0;1
Solution 0.3;330;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;2.0;2;0;0;6.0;2
Solution 0.3;360;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;3.0;1;0;0;3.0;1
Enteric 0.3;15;4.5;2;1.0;1;3.8;5;0.0;0;2.0;3;3.0;1;0;0;0.0;0
Enteric 0.3;30;4.5;2;2.0;2;2.4;5;0.0;0;2.0;2;3.0;2;0;0;0.0;0
Enteric 0.3;45;4.0;2;0.0;0;2.2;5;0.0;0;1.0;1;3.0;1;0;0;0.0;0
Enteric 0.3;60;4.0;2;0.0;0;2.2;5;0.0;0;0.0;0;4.0;1;0;0;0.0;0
Enteric 0.3;75;4.0;2;0.0;0;2.0;4;0.0;0;5.0;1;3.0;1;0;0;3.0;1
Enteric 0.3;90;4.0;2;1.0;1;2.3;3;1.0;1;0.0;0;3.0;1;0;0;2.0;1
Enteric 0.3;105;4.5;2;1.0;1;2.7;3;1.0;1;0.0;0;3.0;1;0;0;2.0;1
Enteric 0.3;120;4.5;2;2.0;1;1.0;2;1.0;1;0.0;0;2.0;2;2;1;1.0;1
Enteric 0.3;135;4.5;2;1.0;1;1.5;2;2.0;2;0.0;0;2.0;2;3;1;1.0;1
Enteric 0.3;150;6.0;1;1.0;1;1.5;2;1.0;1;0.0;0;2.0;2;0;0;1.0;1
Enteric 0.3;165;5.0;1;1.0;1;1.5;2;1.0;1;0.0;0;2.0;2;0;0;0.0;0
Enteric 0.3;180;4.0;1;0.0;0;1.5;2;0.0;0;0.0;0;2.0;3;0;0;0.0;0
Enteric 0.3;195;3.0;1;0.0;0;1.0;1;0.0;0;0.0;0;2.3;3;0;0;0.0;0
Enteric 0.3;210;2.0;1;2.0;1;1.0;1;0.0;0;0.0;0;2.5;2;1;1;0.0;0
Enteric 0.3;225;1.0;1;2.0;1;2.0;1;0.0;0;0.0;0;2.5;2;1;1;0.0;0
Enteric 0.3;240;0.0;0;3.5;2;2.0;1;0.0;0;0.0;0;3.7;3;1;1;0.0;0
Enteric 0.3;270;0.0;0;3.0;2;1.0;2;6.0;1;0.0;0;3.3;3;1;1;3.0;1
Enteric 0.3;300;2.0;1;3.7;3;2.0;2;6.0;1;0.0;0;3.0;1;0;0;3.5;2
Enteric 0.3;330;2.0;1;4.0;3;1.0;1;0.0;0;0.0;0;3.0;1;0;0;2.0;1
Enteric 0.3;360;3.0;1;4.5;2;5.0;1;0.0;0;0.0;0;3.0;2;0;0;0.0;0
Enteric 0.1;15;3.0;1;0.0;0;3.5;2;3.0;2;3.0;3;4.0;2;0;0;0.0;0
Enteric 0.1;30;2.0;1;0.0;0;3.0;1;3.0;1;2.5;2;7.0;1;3;1;0.0;0
Enteric 0.1;45;0.0;0;0.0;0;3.0;1;3.0;2;2.0;2;7.0;1;6;1;0.0;0
Enteric 0.1;60;0.0;0;0.0;0;3.0;1;2.5;2;2.0;1;7.0;1;3;1;5.0;1
Enteric 0.1;75;0.0;0;0.0;0;2.5;2;1.0;1;1.0;1;7.0;1;0;0;0.0;0
Enteric 0.1;90;0.0;0;0.0;0;1.5;2;1.5;2;1.0;1;5.0;1;0;0;0.0;0
Enteric 0.1;105;0.0;0;0.0;0;2.0;2;1.0;1;1.0;1;5.0;1;0;0;0.0;0
Enteric 0.1;120;0.0;0;0.0;0;2.0;2;1.0;1;1.0;1;4.0;2;0;0;0.0;0
Enteric 0.1;135;0.0;0;0.0;0;1.0;1;0.0;0;1.0;1;4.0;2;0;0;0.0;0
Enteric 0.1;150;0.0;0;3.0;1;1.0;1;2.0;1;0.0;0;4.0;2;2;1;0.0;0
Enteric 0.1;165;0.0;0;0.0;0;1.0;1;0.0;0;0.0;0;4.0;1;0;0;0.0;0
Enteric 0.1;180;0.0;0;0.0;0;2.0;2;0.0;0;0.0;0;4.0;1;0;0;0.0;0
Enteric 0.1;195;0.0;0;0.0;0;1.0;1;0.0;0;0.0;0;3.5;2;0;0;0.0;0
Enteric 0.1;210;0.0;0;0.0;0;1.0;1;0.0;0;0.0;0;3.5;2;0;0;0.0;0
Enteric 0.1;225;0.0;0;0.0;0;1.0;1;2.0;1;0.0;0;3.0;2;0;0;0.0;0
Enteric 0.1;240;0.0;0;0.0;0;2.0;2;0.0;0;6.0;1;4.3;3;0;0;0.0;0
Enteric 0.1;270;0.0;0;0.0;0;1.0;1;3.0;1;6.0;1;3.8;6;0;0;0.0;0
Enteric 0.1;300;0.0;0;3.0;1;0.0;0;0.0;0;7.0;1;4.4;5;0;0;3.0;1
Enteric 0.1;330;0.0;0;0.0;0;0.0;0;0.0;0;8.0;1;3.5;4;0;0;2.0;1
Enteric 0.1;360;0.0;0;0.0;0;0.0;0;0.0;0;8.0;1;5.7;3;0;0;0.0;0
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
